identifiantNotice	typeEntite	formeAutoriseeNomEntite	dateDeDebut	dateDeFin	typeDeDate	statutJuridique	ISNI	Wikipedia	numeroDeNoticeAutoriteBnF	PresenceElementsBio	ActiviteOuProfessionPersonne	DomaineOuActionCollectivite	dateCreation	dateDerniereMiseAjour
FRAN_NP_000005	collectivité	France. Ministère de la Culture et de la Communication (1959-....)	1959		dates d'existence	ministère			Notice BnF n° FRBNF11868511	oui		action gouvernementale | aide de l'Etat | communication | contrôle de l'exercice professionnel | culture | inspection		2017-04-28
FRAN_NP_000016	collectivité	France. Ministère de l'Éducation nationale (1828-....)	1828		dates d'existence	ministère			Notice BnF n°FRBNF12207399	oui		éducation nationale | arts (1828-02-10/1959-12-31) | jeunesse (1828-02-10/1966-12-31) | sport (1828-02-10/1966-12-31)		2017-03-17
FRAN_NP_000029	collectivité	Agence d'évaluation de la recherche et de l'enseignement supérieur (France)	2006	2013	dates d'existence	autorité indépendante	ISNI 0000 0001 2178 2222			non		enseignement supérieur | recherche | évaluation		
FRAN_NP_000033	collectivité	France. Commission nationale de contrôle de la campagne en vue de l’élection du président de la République (1964-....)	1964		dates d'existence	autorité indépendante		https://fr.wikipedia.org/wiki/Commission_nationale_de_contr%C3%B4le_de_la_campagne_%C3%A9lectorale_relative_%C3%A0_l%27%C3%A9lection_du_pr%C3%A9sident_de_la_R%C3%A9publique		oui				2018-02-13
FRAN_NP_000051	collectivité	France. Ministère des affaires culturelles. Direction de l'architecture (1959-1978)	1959	1978	dates d'existence	service d'administration centrale	ISNI 0000 0001 2358 8976			oui		culture | urbanisme | ville		2017-04-04
FRAN_NP_000071	collectivité	France. Conseil d'État (1799-....). Commission spéciale de cassation des pensions (1935-2002)	1935	2002	dates d'existence	juridiction				oui		justice		2017-08-18
FRAN_NP_000072	collectivité	France. Comité juridique (1943-1945)	1943	1945	dates d'existence	autorité indépendante				oui		conseil		
FRAN_NP_000074	collectivité	Conseil d'État (1799-....). Commission permanente (1945-....)	1945		dates d'existence	autorité indépendante				oui				
FRAN_NP_000075	collectivité	France. Conseil des prises (1800-1965)	1800	1965	dates d'existence	juridiction		https://fr.wikipedia.org/wiki/Conseil_des_prises		oui		contentieux | justice		2017-08-18
FRAN_NP_000080	collectivité	Conseil d'État	1799		dates d'existence	autorité indépendante				oui				
FRAN_NP_000272	collectivité	Centre d'études prospectives et d'informations internationales (France ; 1978-....)	1978		dates d'existence	service d'administration centrale	ISNI 0000 0004 0639 272X			non		relations internationales | économie | étude		2017-05-03
FRAN_NP_000347	collectivité	Office de radiodiffusion-télévision française (1964-1974)	1964	1974	dates d'existence	établissement public à caractère industriel et commercial	ISNI 0000 0001 2193 4951			oui		production audiovisuelle | production radiophonique		2017-06-23
FRAN_NP_000375	collectivité	France. Délégation aux rapatriés (1988-2002)	1988	2002	dates d'existence	service d'administration centrale				oui		rapatriés		
FRAN_NP_000376	collectivité	France. Délégation pour l'accueil et le reclassement des rapatriés (1967-1991)	1967	1991	dates d'existence	service d'administration centrale				oui		rapatriés		
FRAN_NP_000378	collectivité	France. Service central des rapatriés (1969-2014)	1969	2014	dates d'existence	service d'administration centrale				non		rapatriés		
FRAN_NP_000736	collectivité	Centre de recherche interdisciplinaire (Vaucresson, Hauts-de-Seine)	1983	1995	dates d'existence	unité mixte de recherche	ISNI 0000 0001 2171 4334		FRBNF11990852	oui		recherche		
FRAN_NP_001160	collectivité	France. Ministère de l'Intérieur. Direction générale de la police nationale. Direction de la surveillance du territoire (1899-2008)	1899	2008	dates d'existence	service actif de police	ISNI 0000 0001 1882 0849			oui		sécurité		2018-06-25
FRAN_NP_001399	collectivité	France. Ministère de l'Intérieur. Direction des libertés publiques et des affaires juridiques. Bureau des cercles et jeux (2008-2013)	2008	2013	dates d'existence	service d'administration centrale				oui		police administrative | réglementation		2018-07-23
FRAN_NP_002098	collectivité	Office français de l'immigration et de l'intégration (2005-....)	2005		dates d'existence	établissement public à caractère administratif	ISNI 0000 0001 1942 4768		FRBNF11865179	oui		affaires sociales | organisation du travail		
FRAN_NP_002151	collectivité	France. Commission du débat national Université-Emploi	2006	2006	dates d'existence	organisme consultatif		https://fr.wikipedia.org/wiki/Commission_Hetzel		oui		emploi | enseignement supérieur		2018-07-04
FRAN_NP_002152	collectivité	France. Conseil supérieur de l'éducation (1989-....)	1989		dates d'existence	organisme consultatif	ISNI 0000 0001 2176 8519	https://fr.wikipedia.org/wiki/Conseil_sup%C3%A9rieur_de_l%27%C3%A9ducation_%28France%29		oui		conseil | contentieux | justice | organisation scolaire | procédure disciplinaire | réglementation | éducation nationale		
FRAN_NP_002655	collectivité	France. Ministère de l'Education nationale. Direction des collèges. Sous-direction des personnels enseignants. Bureau du recrutement et de la formation	1974	1984	dates d'existence	service d'administration centrale				non		formation | recrutement | éducation nationale		
FRAN_NP_002985	collectivité	France. Ministère de l'Éducation nationale. Direction générale de l'enseignement scolaire. Bureau du partenariat avec le monde professionnel et des commissions professionnelles consultatives (1997-2010)	1997		dates d'existence	service d'administration centrale				oui		contrôle de l'exercice professionnel | éducation nationale		2018-09-20
FRAN_NP_003117	collectivité	Institut national de recherche pédagogique (France). Service d'histoire de l'éducation (1977-2010)	1977	2010	dates d'existence	établissement public à caractère administratif	ISNI 0000 0001 2295 2334			oui		recherche | éducation nationale		2018-08-27
FRAN_NP_003135	collectivité	Centre d'études et de ressources pour les professeurs de l'enseignement technique (France ; 1956-....)	1956		dates d'existence	service d'administration centrale				oui		formation		2018-09-20
FRAN_NP_003139	collectivité	Centre international d'études pédagogiques (France)	1945		dates d'existence	établissement public à caractère administratif	ISNI 0000 0001 2108 2672			oui		éducation nationale		2018-07-04
FRAN_NP_003150	collectivité	France. Administration centrale des ministères de l'Éducation nationale et de l'Enseignement supérieur et de la recherche. Délégation à la communication (2001-....)	2001		dates d'existence	service d'administration centrale				oui		communication		
FRAN_NP_003250	collectivité	France. Ministères de l'Éducation nationale et de l'Enseignement supérieur et de la Recherche. Service de l'action administrative et de la modernisation. Sous-direction du pilotage et du dialogue de gestion (2006-....)	2006		dates d'existence	service d'administration centrale				oui		conseil | exécution budgétaire | gestion immobilière		2018-09-20
